Year	Month	Land Δ(T) (C)	Ocean Δ(T) (C)	Ocean-Land Δ(T) (C)
1890	1	-1.123604	-0.503796	-0.656779
1890	2	-1.199867	-0.510683	-0.697037
1890	3	-1.122854	-0.531604	-0.690468
1890	4	-0.774779	-0.563623	-0.616796
1890	5	-1.13787	-0.581624	-0.724219
1890	6	-0.727132	-0.593782	-0.629055
1890	7	-0.451428	-0.63891	-0.590467
1890	8	-0.68377	-0.696367	-0.693181
1890	9	-0.75537	-0.701302	-0.715804
1890	10	-0.565097	-0.651538	-0.627506
1890	11	-1.160509	-0.581134	-0.734356
1890	12	-1.03469	-0.487403	-0.63033
1891	1	-1.268403	-0.504312	-0.710423
1891	2	-1.805985	-0.529058	-0.885513
1891	3	-0.884938	-0.482582	NaN
1891	4	-1.041615	-0.414526	-0.59396
1891	5	-0.830246	-0.389685	-0.507723
1891	6	-0.843519	-0.399224	-0.521032
1891	7	-0.599506	-0.434018	-0.481888
1891	8	-0.681823	-0.435386	-0.507131
1891	9	-0.486027	-0.424361	-0.441639
1891	10	-0.91375	-0.427497	-0.56117
1891	11	-1.127359	-0.506173	-0.674687
1891	12	-0.35529	NaN	-0.396285
1892	1	-1.043856	-0.378663	-0.557184
1892	2	-0.829418	-0.343836	-0.474844
1892	3	-1.231205	-0.422203	-0.629952
1892	4	-1.184198	-0.469466	-0.666316
1892	5	-0.855166	-0.495675	-0.598738
1892	6	-0.611211	-0.620259	-0.617756
1892	7	-0.605785	-0.726324	-0.689008
1892	8	-0.648061	-0.642588	-0.64411
1892	9	-0.529353	-0.505665	-0.512202
1892	10	-0.473341	-0.585446	-0.555324
1892	11	-1.373608	NaN	-0.765026
1892	12	-1.221785	-0.607693	-0.780807
1893	1	-2.388598	-0.533286	-1.046686
1893	2	-2.149398	-0.527977	-0.962415
1893	3	-0.742279	-0.518482	-0.577909
1893	4	-0.96939	-0.568154	-0.679694
1893	5	-0.955471	-0.53725	-0.653542
1893	6	-0.645443	-0.572116	-0.593319
1893	7	-0.436276	-0.544989	-0.514823
1893	8	-0.663213	-0.591899	-0.61152
1893	9	-0.44751	-0.544195	-0.518567
1893	10	-0.532437	-0.514923	-0.519853
1893	11	-0.354397	-0.505731	-0.464634
1893	12	-0.776686	-0.497436	-0.579117
1894	1	-1.202271	-0.549839	-0.73092
1894	2	-0.593234	-0.569037	-0.575717
1894	3	-0.61385	-0.634295	-0.628592
1894	4	-1.089257	-0.580614	-0.720083
1894	5	-0.700716	-0.651725	-0.665983
1894	6	-0.808052	-0.641956	-0.688062
1894	7	-0.640749	-0.567051	-0.58816
1894	8	-0.649252	-0.569847	-0.592155
1894	9	-0.64832	-0.509815	-0.547904
1894	10	-0.68594	-0.505449	-0.556064
1894	11	-0.876308	-0.515963	-0.619531
1894	12	-0.813506	-0.479141	-0.578471
1895	1	-1.601857	-0.417302	-0.75118
1895	2	-1.461622	-0.441366	-0.739408
1895	3	-0.947985	-0.572863	-0.686146
1895	4	-0.521477	-0.520874	-0.521055
